text_id,pooling,class_0_logit_single,class_1_logit_single,class_0_prob_single,class_1_prob_single,logit_margin_1_minus_0_single,logit_diff
0,cls,1.1605546474456787,-0.27371782064437866,0.8075661659240723,0.19243384897708893,-1.4342725276947021,3.5762786865234375e-07
1,cls,1.2760779857635498,-0.44216275215148926,0.8479020595550537,0.1520979106426239,-1.718240737915039,5.960464477539062e-07
2,cls,0.9642891883850098,-0.364313006401062,0.7906093001365662,0.20939067006111145,-1.3286021947860718,0.0
3,cls,0.8499523997306824,-0.3905729651451111,0.7756554484367371,0.22434455156326294,-1.2405253648757935,1.7881393432617188e-07
4,cls,0.8499523997306824,-0.3905729651451111,0.7756554484367371,0.22434455156326294,-1.2405253648757935,1.7881393432617188e-07
5,cls,1.26640784740448,-0.36132675409317017,0.8358590602874756,0.16414092481136322,-1.627734661102295,2.384185791015625e-07
6,cls,1.2054839134216309,-0.06559216231107712,0.7809268832206726,0.2190731018781662,-1.2710760831832886,2.384185791015625e-07
7,cls,1.1685940027236938,-0.24621552228927612,0.8045234084129333,0.19547657668590546,-1.4148094654083252,2.384185791015625e-07
8,cls,1.019437551498413,-0.4686320126056671,0.8157883286476135,0.1842116415500641,-1.4880695343017578,5.960464477539062e-07
9,cls,1.0104129314422607,-0.6554836630821228,0.8410279750823975,0.15897202491760254,-1.6658966541290283,3.5762786865234375e-07
0,pooler,0.16578704118728638,0.5915102958679199,0.39514803886413574,0.6048519611358643,0.42572325468063354,1.341104507446289e-07
1,pooler,0.12182032316923141,0.6048076748847961,0.3815469443798065,0.6184530258178711,0.48298734426498413,3.725290298461914e-08
2,pooler,0.2150852233171463,0.6179459095001221,0.40062519907951355,0.5993747711181641,0.40286070108413696,8.940696716308594e-08
3,pooler,0.18555854260921478,0.4710069000720978,0.4291185140609741,0.5708814263343811,0.2854483723640442,2.9802322387695312e-08
4,pooler,0.18555854260921478,0.4710069000720978,0.4291185140609741,0.5708814263343811,0.2854483723640442,2.9802322387695312e-08
5,pooler,0.23736482858657837,0.5306895971298218,0.42719006538391113,0.5728098750114441,0.2933247685432434,5.960464477539063e-08
6,pooler,0.3059442639350891,0.6494963765144348,0.41494685411453247,0.5850530862808228,0.3435521125793457,0.0
7,pooler,0.5837534666061401,0.0011520776897668839,0.6416657567024231,0.3583342432975769,-0.5826013684272766,2.980232238769531e-07
8,pooler,0.06804463267326355,0.6728464365005493,0.35324591398239136,0.6467541456222534,0.6048017740249634,1.1920928955078125e-07
9,pooler,0.14581696689128876,0.6495155692100525,0.3766719102859497,0.6233281493186951,0.5036985874176025,0.0
0,masked_mean,1.15906822681427,-0.21727022528648376,0.7984023094177246,0.20159770548343658,-1.3763384819030762,2.384185791015625e-07
1,masked_mean,0.720944344997406,-0.3558018207550049,0.745877742767334,0.254122257232666,-1.0767462253570557,1.1920928955078125e-07
2,masked_mean,-0.011582246981561184,-0.45220860838890076,0.6084082722663879,0.39159172773361206,-0.4406263530254364,6.891787052154541e-08
3,masked_mean,0.8499524593353271,-0.39057302474975586,0.7756554484367371,0.22434452176094055,-1.240525484085083,1.7881393432617188e-07
4,masked_mean,0.8499524593353271,-0.39057302474975586,0.7756554484367371,0.22434452176094055,-1.240525484085083,1.7881393432617188e-07
5,masked_mean,1.3203719854354858,-0.22752928733825684,0.8246103525161743,0.1753895878791809,-1.5479012727737427,0.0
6,masked_mean,-0.004290134645998478,-0.12303254008293152,0.5296508073806763,0.4703492820262909,-0.11874240636825562,1.7508864402770996e-07
7,masked_mean,-0.10914776474237442,0.005074528977274895,0.47147542238235474,0.5285245776176453,0.11422229558229446,7.450580596923828e-08
8,masked_mean,-0.050223805010318756,-0.5876928567886353,0.6312234401702881,0.3687765598297119,-0.5374690294265747,3.3527612686157227e-08
9,masked_mean,-0.12806092202663422,-0.6679143905639648,0.631778359413147,0.3682217001914978,-0.5398534536361694,5.960464477539063e-08
